,hour,station_complex_id,station_complex,ridership,transfers
340,09,10,"49 St (N,R,W)",190.0,0.0
341,09,10,"49 St (N,R,W)",310.0,2.0
342,09,10,"49 St (N,R,W)",1.0,0.0
343,09,118,3 Av (L),11.0,1.0
344,09,118,3 Av (L),4.0,0.0
345,09,13,"28 St (R,W)",5.0,1.0
346,09,14,"23 St (R,W)",3.0,2.0
347,09,143,Inwood-207 St (A),23.0,2.0
348,09,144,Dyckman St (A),21.0,0.0
349,09,149,163 St-Amsterdam Av (C),27.0,0.0
350,09,151,"145 St (A,C,B,D)",38.0,1.0
351,09,152,"135 St (C,B)",7.0,0.0
352,09,153,"125 St (A,C,B,D)",107.0,5.0
353,09,154,"116 St (C,B)",19.0,0.0
354,09,155,"Cathedral Pkwy (110 St) (C,B)",3.0,0.0
355,09,155,"Cathedral Pkwy (110 St) (C,B)",12.0,0.0
356,09,165,"23 St (C,E)",22.0,0.0
357,09,168,"Spring St (C,E)",16.0,0.0
358,09,17,"Prince St (R,W)",5.0,0.0
359,09,222,Roosevelt Island (F),1.0,0.0
360,09,223,"Lexington Av/63 St (F,Q)",21.0,0.0
361,09,228,"23 St (F,M)",31.0,0.0
362,09,232,2 Av (F),60.0,0.0
363,09,277,"7 Av (E,B,D)",280.0,1.0
364,09,307,116 St-Columbia University (1),3.0,0.0
365,09,311,86 St (1),9.0,0.0
366,09,313,"72 St (1,2,3)",63.0,4.0
367,09,313,"72 St (1,2,3)",128.0,0.0
368,09,318,"34 St-Penn Station (1,2,3)",75.0,3.0
369,09,320,23 St (1),4.0,0.0
370,09,324,Houston St (1),44.0,0.0
371,09,324,Houston St (1),4.0,0.0
372,09,325,Canal St (1),8.0,0.0
373,09,392,"125 St (4,5,6)",30.0,3.0
374,09,392,"125 St (4,5,6)",65.0,0.0
375,09,395,103 St (6),20.0,1.0
376,09,398,77 St (6),4.0,0.0
377,09,403,33 St (6),34.0,0.0
378,09,404,28 St (6),65.0,0.0
379,09,409,Spring St (6),22.0,0.0
380,09,436,Harlem-148 St (3),29.0,0.0
381,09,436,Harlem-148 St (3),3.0,0.0
382,09,439,"125 St (2,3)",51.0,4.0
383,09,605,"168 St (A,C,1)",18.0,0.0
384,09,609,"Bryant Pk (B,D,F,M)/5 Av (7)",4.0,0.0
385,09,612,"Lexington Av-53 St (E,M)/51 St (6)",6.0,0.0
386,09,TRAM1,RI Tramway (Manhattan),49.0,13.0
387,09,13,"28 St (R,W)",16.0,0.0
388,09,149,163 St-Amsterdam Av (C),17.0,0.0
389,09,153,"125 St (A,C,B,D)",32.0,4.0
390,09,154,"116 St (C,B)",27.0,0.0
391,09,158,"86 St (C,B)",23.0,0.0
392,09,162,"50 St (C,E)",28.0,1.0
393,09,222,Roosevelt Island (F),9.0,1.0
394,09,223,"Lexington Av/63 St (F,Q)",130.0,24.0
395,09,277,"7 Av (E,B,D)",11.0,0.0
396,09,277,"7 Av (E,B,D)",1.0,0.0
397,09,301,181 St (1),19.0,3.0
398,09,303,157 St (1),18.0,2.0
399,09,305,137 St-City College (1),54.0,0.0
400,09,306,125 St (1),11.0,0.0
401,09,309,103 St (1),46.0,0.0
402,09,319,28 St (1),200.0,0.0
403,09,323,Christopher St-Sheridan Sq (1),4.0,0.0
404,09,328,WTC Cortlandt (1),209.0,0.0
405,09,333,"Wall St (2,3)",1.0,0.0
406,09,396,96 St (6),21.0,4.0
407,09,399,68 St-Hunter College (6),28.0,3.0
408,09,407,Astor Pl (6),30.0,0.0
409,09,414,"Bowling Green (4,5)",46.0,5.0
410,09,414,"Bowling Green (4,5)",30.0,0.0
411,09,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",22.0,0.0
412,09,609,"Bryant Pk (B,D,F,M)/5 Av (7)",15.0,0.0
413,09,612,"Lexington Av-53 St (E,M)/51 St (6)",519.0,6.0
414,09,TRAM2,RI Tramway (Roosevelt),4.0,0.0
415,09,103,"Bowery (J,Z)",2.0,0.0
416,09,146,181 St (A),200.0,1.0
417,09,147,175 St (A),11.0,0.0
418,09,147,175 St (A),60.0,0.0
419,09,150,155 St (C),10.0,0.0
420,09,151,"145 St (A,C,B,D)",84.0,0.0
421,09,164,"34 St-Penn Station (A,C,E)",674.0,1.0
422,09,168,"Spring St (C,E)",98.0,2.0
423,09,17,"Prince St (R,W)",2.0,0.0
424,09,220,"155 St (B,D)",25.0,0.0
425,09,223,"Lexington Av/63 St (F,Q)",1.0,0.0
426,09,297,215 St (1),5.0,0.0
427,09,301,181 St (1),31.0,10.0
428,09,309,103 St (1),10.0,0.0
429,09,316,50 St (1),20.0,0.0
430,09,323,Christopher St-Sheridan Sq (1),35.0,0.0
431,09,324,Houston St (1),8.0,1.0
432,09,329,Rector St (1),110.0,0.0
433,09,333,"Wall St (2,3)",17.0,0.0
434,09,394,110 St (6),18.0,0.0
435,09,394,110 St (6),22.0,1.0
436,09,403,33 St (6),307.0,23.0
437,09,405,23 St (6),38.0,0.0
438,09,437,145 St (3),7.0,0.0
439,09,609,"Bryant Pk (B,D,F,M)/5 Av (7)",19.0,3.0
440,09,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",262.0,0.0
441,09,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",28.0,1.0
442,09,625,"Delancey St (F)/Essex St (J,M,Z)",70.0,5.0
443,09,628,"Fulton St (A,C,J,Z,2,3,4,5)",21.0,1.0
444,09,TRAM1,RI Tramway (Manhattan),2.0,2.0
445,09,119,1 Av (L),11.0,0.0
446,09,145,190 St (A),32.0,0.0
447,09,147,175 St (A),28.0,1.0
448,09,152,"135 St (C,B)",8.0,0.0
449,09,157,"96 St (C,B)",9.0,1.0
450,09,220,"155 St (B,D)",4.0,0.0
451,09,234,East Broadway (F),11.0,0.0
452,09,297,215 St (1),2.0,0.0
453,09,307,116 St-Columbia University (1),4.0,0.0
454,09,308,Cathedral Pkwy (110 St) (1),145.0,1.0
455,09,316,50 St (1),160.0,0.0
456,09,328,WTC Cortlandt (1),6.0,0.0
457,09,329,Rector St (1),7.0,0.0
458,09,395,103 St (6),20.0,0.0
459,09,396,96 St (6),42.0,0.0
460,09,399,68 St-Hunter College (6),169.0,1.0
461,09,404,28 St (6),1.0,0.0
462,09,414,"Bowling Green (4,5)",221.0,94.0
463,09,437,145 St (3),21.0,1.0
464,09,477,72 St (Q),48.0,1.0
465,09,613,"Lexington Av (N,R,W)/59 St (4,5,6)",7.0,1.0
466,09,614,"59 St-Columbus Circle (A,B,C,D,1)",166.0,3.0
467,09,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",56.0,0.0
468,09,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",8.0,0.0
469,09,635,"South Ferry (1)/Whitehall St (R,W)",118.0,0.0
470,09,298,207 St (1),59.0,7.0
471,09,10,"49 St (N,R,W)",9.0,0.0
472,09,144,Dyckman St (A),2.0,0.0
473,09,144,Dyckman St (A),102.0,0.0
474,09,156,"103 St (C,B)",3.0,0.0
475,09,160,"72 St (C,B)",10.0,0.0
476,09,164,"34 St-Penn Station (A,C,E)",7.0,0.0
477,09,168,"Spring St (C,E)",3.0,0.0
478,09,22,"Rector St (R,W)",15.0,7.0
479,09,220,"155 St (B,D)",15.0,0.0
480,09,222,Roosevelt Island (F),101.0,0.0
481,09,223,"Lexington Av/63 St (F,Q)",4.0,0.0
482,09,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",8.0,0.0
483,09,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",4.0,0.0
484,09,232,2 Av (F),176.0,2.0
485,09,234,East Broadway (F),62.0,0.0
486,09,276,"5 Av/53 St (E,M)",13.0,0.0
487,09,296,Marble Hill-225 St (1),9.0,0.0
488,09,296,Marble Hill-225 St (1),51.0,3.0
489,09,298,207 St (1),7.0,1.0
490,09,298,207 St (1),22.0,0.0
491,09,299,Dyckman St (1),25.0,2.0
492,09,306,125 St (1),15.0,0.0
493,09,312,79 St (1),5.0,1.0
494,09,314,66 St-Lincoln Center (1),173.0,3.0
495,09,320,23 St (1),5.0,0.0
496,09,320,23 St (1),124.0,0.0
497,09,321,18 St (1),1.0,0.0
498,09,324,Houston St (1),9.0,0.0
499,09,326,Franklin St (1),2.0,0.0
500,09,329,Rector St (1),5.0,0.0
501,09,392,"125 St (4,5,6)",267.0,22.0
502,09,396,96 St (6),79.0,2.0
503,09,440,"116 St (2,3)",7.0,0.0
504,09,471,34 St-Hudson Yards (7),2.0,0.0
505,09,475,96 St (Q),85.0,0.0
506,09,605,"168 St (A,C,1)",118.0,1.0
507,09,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",248.0,5.0
508,09,628,"Fulton St (A,C,J,Z,2,3,4,5)",335.0,0.0
509,09,13,"28 St (R,W)",1.0,0.0
510,09,145,190 St (A),71.0,0.0
511,09,20,"City Hall (R,W)",2.0,0.0
512,09,22,"Rector St (R,W)",2.0,1.0
513,09,223,"Lexington Av/63 St (F,Q)",19.0,7.0
514,09,231,"Grand St (B,D)",8.0,0.0
515,09,277,"7 Av (E,B,D)",1.0,0.0
516,09,304,145 St (1),121.0,4.0
517,09,305,137 St-City College (1),16.0,0.0
518,09,305,137 St-City College (1),175.0,1.0
519,09,309,103 St (1),64.0,1.0
520,09,326,Franklin St (1),5.0,0.0
521,09,327,"Chambers St (1,2,3)",6.0,0.0
522,09,413,"Wall St (4,5)",5.0,0.0
523,09,438,"135 St (2,3)",143.0,2.0
524,09,471,34 St-Hudson Yards (7),34.0,0.0
525,09,471,34 St-Hudson Yards (7),18.0,0.0
526,09,601,"14 St (F,M,1,2,3)/6 Av (L)",61.0,0.0
527,09,610,"Grand Central-42 St (S,4,5,6,7)",143.0,3.0
528,09,618,"14 St (A,C,E)/8 Av (L)",71.0,0.0
529,09,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",33.0,0.0
530,09,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",42.0,0.0
531,09,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",141.0,0.0
532,09,635,"South Ferry (1)/Whitehall St (R,W)",264.0,95.0
