facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
44235,DCC,License,"Brierwood Child Care of Amherst, Inc.",Williamsville,14221,Williamsville,20,20,30,20,0,90
845094,GFDC,License,Christ is Coming Soon,Bronx,10456,Bronx 9,0,0,0,0,12,12
847952,FDC,Registration,Deiter's Wolfpack Childcare,Cattaraugus,14719,Cattaraugus-Little V,0,0,0,2,6,8
874535,GFDC,License,"Valdez, Jennifer",Bronx,10451,Bronx 7,0,0,0,0,12,12
44133,DCC,License,Sweet Tots Creative Child Care,Bethpage,11714,Bethpage,7,15,22,0,0,44
184554,GFDC,License,Little Angels Day Care,Brooklyn,11234,Brooklyn 22,0,0,0,4,12,16
187274,GFDC,License,"Dixson, Vanessa",Amherst,14226,Amherst,0,0,0,4,12,16
756200,GFDC,License,"Martinez, Ana",Bronx,10468,Bronx 10,0,0,0,4,12,16
444354,GFDC,License,Children Paradise Day Care Inc.,Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16
267977,GFDC,License,Golden Group Family Day Care,Brooklyn,11212,Brooklyn 23,0,0,0,4,12,16
390681,GFDC,License,Dee's Childcare,Thornwood,10594,Mt Pleasant Cent,0,0,0,4,12,16
429471,GFDC,License,R. Michaelson G.C. Family Day Care,Arverne,11692,Queens 27,0,0,0,2,12,14
831676,SACC,Pending Revocation and Denial,Purelements: An Evolution in Dance @ I.S. 392,Brooklyn,11212,Brooklyn 23,0,0,0,117,0,117
303354,GFDC,License,"Lemus, Esther",Kingston,12401,Kingston,0,0,0,4,12,16
827215,GFDC,License,"Marmolejos, Jayra",BRONX,10460,Bronx 10,0,0,0,0,12,12
41082,DCC,License,Westcop  West HELP Mt Vernon,Mt. Vernon,10550,Mount Vernon,0,0,18,0,0,18
377996,SACC,Registration,Little Birds Daycare After School Center,Brooklyn,11208,Brooklyn 19,0,0,0,10,0,10
616757,GFDC,License,"Molina, Altagracia",Brooklyn,11221,Brooklyn 32,0,0,0,4,12,16
430979,GFDC,License,"Rosandry DayCare, Inc.",Bronx,10453,Bronx 10,0,0,0,4,12,16
834847,FDC,Registration,"Wynn, Destiny",Bronx,10454,Bronx 7,0,0,0,2,6,8
860025,GFDC,License,Ashle's Miles of Smiles,Clifton Park,12065,Shenendehowa,0,0,0,0,12,12
195607,DCC,License,"Oneida Area Day Care Center, Inc.",Oneida,13421,Oneida City,24,36,36,33,0,129
855318,SACC,Registration,"Baden Street Settlement of Rochester, Inc",Rochester,146052142,Rochester,0,0,0,104,0,104
14632,FDC,Registration,"Winslow, Debra",Uniondale,11553,Uniondale,0,0,0,2,6,8
193426,GFDC,License,Favorites' Group Day Care,Brooklyn,11212,Brooklyn 18,0,0,0,4,12,16
807940,SACC,Registration,"New York Edge, Inc.",Brooklyn,11212,Brooklyn 23,0,0,0,259,0,259
264261,GFDC,License,"Mack, Niema",Brooklyn,11207,Brooklyn 19,0,0,0,4,12,16
153758,SACC,Registration,Kidz Korner After School,Schenectady,12303,Guilderland,0,0,0,60,0,60
