month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-04,A DIVISION,7,2,928,932,1.004310345
2024-04,A DIVISION,S 42nd,1,2222,2215,0.996849685
2024-04,A DIVISION,S 42nd,2,1464,1449,0.989754098
2024-04,B DIVISION,A,2,1306,1285,0.983920368
2024-04,B DIVISION,A,1,2816,2706,0.9609375
2024-04,B DIVISION,B,1,1848,1732,0.937229437
2024-04,B DIVISION,C,1,1672,1593,0.952751196
2024-04,B DIVISION,C,2,1120,1072,0.957142857
2024-04,B DIVISION,D,1,2012,1937,0.962723658
2024-04,B DIVISION,D,2,1280,1254,0.9796875
2024-04,B DIVISION,E,2,720,712,0.988888889
2024-04,B DIVISION,E,1,1718,1585,0.9225844
2024-04,B DIVISION,F,2,1279,1263,0.987490227
2024-04,B DIVISION,F,1,3190,2974,0.932288401
2024-04,B DIVISION,G,2,1884,1862,0.988322718
2024-04,B DIVISION,G,1,1034,981,0.948742747
2024-04,B DIVISION,JZ,2,857,849,0.990665111
2024-04,B DIVISION,JZ,1,1122,1079,0.961675579
2024-04,B DIVISION,L,2,720,704,0.977777778
2024-04,B DIVISION,L,1,2111,2052,0.972051161
2024-04,B DIVISION,M,1,1980,1819,0.918686869
2024-04,B DIVISION,M,2,820,779,0.95
2024-04,B DIVISION,N,2,1024,985,0.961914063
2024-04,B DIVISION,N,1,2002,1892,0.945054945
2024-04,B DIVISION,Q,1,2266,2176,0.960282436
2024-04,B DIVISION,Q,2,1612,1532,0.950372208
2024-04,B DIVISION,R,1,2266,2089,0.921888791
2024-04,B DIVISION,R,2,1361,1286,0.944893461
2024-04,B DIVISION,S Fkln,2,704,698,0.991477273
2024-04,B DIVISION,S Fkln,1,792,790,0.997474747
2024-04,B DIVISION,S Rock,1,462,464,1.004329004
2024-04,B DIVISION,S Rock,2,452,451,0.997787611
2024-04,B DIVISION,W,1,858,797,0.928904429
2024-04,Systemwide,Systemwide,1,47895,45578,0.951623343
2024-04,Systemwide,Systemwide,2,25034,24414,0.975233682
2024-03,A DIVISION,1,1,1764,1657,0.939342404
2024-03,A DIVISION,1,2,1198,1162,0.969949917
2024-03,A DIVISION,2,1,2312,2202,0.952422145
2024-03,A DIVISION,2,2,1592,1465,0.920226131
2024-03,A DIVISION,3,1,2151,2097,0.974895397
2024-03,A DIVISION,3,2,1599,1536,0.960600375
2024-03,A DIVISION,4,1,2892,2739,0.947095436
2024-03,A DIVISION,4,2,2380,2265,0.951680672
2024-03,A DIVISION,5,2,1440,1387,0.963194444
2024-03,A DIVISION,5,1,2709,2480,0.915466962
2024-03,A DIVISION,6,2,1475,1439,0.97559322
2024-03,A DIVISION,6,1,2163,1975,0.91308368
2024-03,A DIVISION,7,1,2814,2766,0.982942431
2024-03,A DIVISION,7,2,928,921,0.992456897
2024-03,A DIVISION,S 42nd,2,1830,1814,0.991256831
2024-03,A DIVISION,S 42nd,1,2121,2117,0.998114097
2024-03,B DIVISION,A,1,2688,2513,0.934895833
2024-03,B DIVISION,A,2,1910,1878,0.983246073
2024-03,B DIVISION,B,1,1674,1518,0.906810036
2024-03,B DIVISION,C,1,1596,1478,0.926065163
2024-03,B DIVISION,C,2,1600,1530,0.95625
2024-03,B DIVISION,D,1,1924,1814,0.942827443
2024-03,B DIVISION,D,2,1600,1560,0.975
2024-03,B DIVISION,E,2,960,932,0.970833333
2024-03,B DIVISION,E,1,1554,1453,0.935006435
2024-03,B DIVISION,F,2,1184,1163,0.982263514
2024-03,B DIVISION,F,1,1862,1764,0.947368421
2024-03,B DIVISION,G,2,2268,2214,0.976190476
2024-03,B DIVISION,G,1,987,945,0.957446809
2024-03,B DIVISION,JZ,2,1100,1066,0.969090909
2024-03,B DIVISION,JZ,1,1071,1043,0.973856209
2024-03,B DIVISION,L,2,1384,1361,0.983381503
2024-03,B DIVISION,L,1,2015,2002,0.993548387
2024-03,B DIVISION,M,2,1040,1016,0.976923077
2024-03,B DIVISION,M,1,735,744,1.012244898
2024-03,B DIVISION,N,2,1278,1239,0.969483568
2024-03,B DIVISION,N,1,1911,1801,0.942438514
2024-03,B DIVISION,Q,2,975,958,0.982564103
2024-03,B DIVISION,Q,1,2163,2033,0.939898289
2024-03,B DIVISION,R,1,2289,2104,0.919178681
2024-03,B DIVISION,R,2,1922,1886,0.981269511
2024-03,B DIVISION,S Fkln,2,880,870,0.988636364
2024-03,B DIVISION,S Fkln,1,756,758,1.002645503
2024-03,B DIVISION,S Rock,1,441,437,0.990929705
2024-03,B DIVISION,S Rock,2,565,558,0.987610619
2024-03,B DIVISION,W,1,819,755,0.921855922
2024-03,Systemwide,Systemwide,2,31108,30220,0.971454288
2024-03,Systemwide,Systemwide,1,43411,41195,0.94895303
2024-02,A DIVISION,1,1,1680,1581,0.941071429
2024-02,A DIVISION,1,2,1102,1043,0.94646098
2024-02,A DIVISION,2,1,2180,2007,0.920642202
2024-02,A DIVISION,2,2,1565,1399,0.893929712
2024-02,A DIVISION,3,2,640,610,0.953125
2024-02,A DIVISION,3,1,2032,1919,0.944389764
2024-02,A DIVISION,4,1,2751,2651,0.963649582
2024-02,A DIVISION,4,2,1902,1736,0.912723449
2024-02,A DIVISION,5,1,2580,2394,0.927906977
2024-02,A DIVISION,5,2,814,761,0.934889435
2024-02,A DIVISION,6,1,2060,1946,0.944660194
2024-02,A DIVISION,6,2,1166,1113,0.954545455
2024-02,A DIVISION,7,1,2680,2613,0.975
2024-02,A DIVISION,7,2,1096,1082,0.987226277
2024-02,A DIVISION,S 42nd,1,2020,2013,0.996534653
2024-02,A DIVISION,S 42nd,2,1464,1464,1
2024-02,B DIVISION,A,2,1337,1305,0.976065819
2024-02,B DIVISION,A,1,2560,2408,0.940625
2024-02,B DIVISION,B,1,1584,1439,0.908459596
2024-02,B DIVISION,C,2,1120,1040,0.928571429
2024-02,B DIVISION,C,1,1521,1378,0.905982906
2024-02,B DIVISION,D,2,1280,1210,0.9453125
2024-02,B DIVISION,D,1,1820,1685,0.925824176
2024-02,B DIVISION,E,2,560,539,0.9625
2024-02,B DIVISION,E,1,1480,1353,0.914189189
2024-02,B DIVISION,F,1,2840,2484,0.874647887
2024-02,B DIVISION,F,2,799,771,0.964956195
2024-02,B DIVISION,G,1,940,872,0.927659574
2024-02,B DIVISION,G,2,1406,1387,0.986486486
2024-02,B DIVISION,JZ,1,1020,984,0.964705882
2024-02,B DIVISION,JZ,2,660,619,0.937878788
2024-02,B DIVISION,L,1,1919,1872,0.975508077
2024-02,B DIVISION,L,2,1596,1465,0.917919799
2024-02,B DIVISION,M,2,660,627,0.95
2024-02,B DIVISION,M,1,700,693,0.99
2024-02,B DIVISION,N,1,1816,1692,0.931718062
2024-02,B DIVISION,N,2,1278,1190,0.93114241
2024-02,B DIVISION,Q,1,2060,1913,0.928640777
2024-02,B DIVISION,Q,2,1618,1527,0.943757726
2024-02,B DIVISION,R,1,2180,1958,0.898165138
2024-02,B DIVISION,R,2,1120,1069,0.954464286
2024-02,B DIVISION,S Fkln,1,720,720,1
2024-02,B DIVISION,S Fkln,2,704,688,0.977272727
2024-02,B DIVISION,S Rock,2,452,448,0.991150442
2024-02,B DIVISION,S Rock,1,420,422,1.004761905
2024-02,B DIVISION,W,1,773,676,0.874514877
2024-02,Systemwide,Systemwide,1,42336,39673,0.93709845
2024-02,Systemwide,Systemwide,2,24339,23093,0.948806442
2024-01,A DIVISION,1,1,1764,1554,0.880952381
2024-01,A DIVISION,1,2,872,825,0.946100917
2024-01,A DIVISION,2,1,2330,2095,0.899141631
2024-01,A DIVISION,2,2,1181,1127,0.954276037
2024-01,A DIVISION,3,1,2163,2016,0.932038835
2024-01,A DIVISION,3,2,1119,1086,0.970509383
2024-01,A DIVISION,4,2,1905,1834,0.962729659
2024-01,A DIVISION,4,1,3036,2829,0.931818182
2024-01,A DIVISION,5,1,2838,2604,0.917547569
2024-01,A DIVISION,5,2,825,811,0.983030303
2024-01,A DIVISION,6,2,1166,1129,0.968267581
2024-01,A DIVISION,6,1,2263,2143,0.946973045
2024-01,A DIVISION,7,1,2948,2728,0.925373134
2024-01,A DIVISION,S 42nd,1,2222,2189,0.985148515
2024-01,A DIVISION,S 42nd,2,1464,1464,1
2024-01,B DIVISION,A,2,1528,1473,0.964005236
2024-01,B DIVISION,A,1,2816,2585,0.91796875
2024-01,B DIVISION,B,1,1848,1683,0.910714286
2024-01,B DIVISION,C,1,1672,1524,0.911483254
2024-01,B DIVISION,C,2,1280,1214,0.9484375
2024-01,B DIVISION,D,2,1280,1229,0.96015625
2024-01,B DIVISION,D,1,2003,1850,0.923614578
2024-01,B DIVISION,E,1,1628,1534,0.942260442
2024-01,B DIVISION,E,2,960,924,0.9625
2024-01,B DIVISION,F,1,3124,2728,0.873239437
2024-01,B DIVISION,F,2,1280,1233,0.96328125
2024-01,B DIVISION,G,1,1034,990,0.957446809
2024-01,B DIVISION,G,2,1837,1845,1.004354927
2024-01,B DIVISION,JZ,2,880,838,0.952272727
2024-01,B DIVISION,JZ,1,1122,1070,0.953654189
2024-01,B DIVISION,L,1,2111,1997,0.945997158
2024-01,B DIVISION,L,2,1596,1524,0.954887218
2024-01,B DIVISION,M,1,770,768,0.997402597
2024-01,B DIVISION,M,2,880,858,0.975
2024-01,B DIVISION,N,1,1998,1814,0.907907908
2024-01,B DIVISION,N,2,640,589,0.9203125
2024-01,B DIVISION,Q,1,2266,2053,0.906001765
2024-01,B DIVISION,Q,2,464,426,0.918103448
2024-01,B DIVISION,R,1,2398,2168,0.904086739
2024-01,B DIVISION,R,2,1924,1776,0.923076923
2024-01,B DIVISION,S Fkln,1,792,790,0.997474747
2024-01,B DIVISION,S Fkln,2,704,698,0.991477273
2024-01,B DIVISION,S Rock,2,452,449,0.993362832
2024-01,B DIVISION,S Rock,1,462,462,1
2024-01,B DIVISION,W,1,851,756,0.888366627
2024-01,Systemwide,Systemwide,1,46459,42930,0.924040552
2024-01,Systemwide,Systemwide,2,24237,23352,0.96348558
2023-12,A DIVISION,1,1,1680,1585,0.943452381
2023-12,A DIVISION,1,2,1344,1271,0.945684524
2023-12,A DIVISION,2,1,2218,2026,0.913435528
2023-12,A DIVISION,2,2,1893,1817,0.959852087
2023-12,A DIVISION,3,2,1600,1535,0.959375
2023-12,A DIVISION,3,1,2060,1940,0.941747573
2023-12,A DIVISION,4,2,2385,2217,0.929559748
2023-12,A DIVISION,4,1,2747,2573,0.936658173
2023-12,A DIVISION,5,1,2580,2339,0.906589147
2023-12,A DIVISION,5,2,1582,1478,0.93426043
2023-12,A DIVISION,6,1,2060,1893,0.918932039
2023-12,A DIVISION,6,2,1428,1344,0.941176471
2023-12,A DIVISION,7,2,1558,1487,0.954428755
2023-12,A DIVISION,7,1,2680,2454,0.915671642
2023-12,A DIVISION,S 42nd,1,1616,1611,0.996905941
2023-12,A DIVISION,S 42nd,2,1830,1830,1
2023-12,B DIVISION,A,2,1815,1734,0.955371901
2023-12,B DIVISION,A,1,2560,2350,0.91796875
2023-12,B DIVISION,B,1,1681,1493,0.888161808
2023-12,B DIVISION,C,1,1508,1287,0.853448276
2023-12,B DIVISION,C,2,1280,1123,0.87734375
2023-12,B DIVISION,D,1,1821,1634,0.897309171
2023-12,B DIVISION,D,2,1600,1562,0.97625
2023-12,B DIVISION,E,2,800,755,0.94375
2023-12,B DIVISION,E,1,1480,1366,0.922972973
2023-12,B DIVISION,F,2,1600,1521,0.950625
2023-12,B DIVISION,F,1,2851,2488,0.872676254
2023-12,B DIVISION,G,2,2268,2182,0.962081129
2023-12,B DIVISION,G,1,918,860,0.936819172
2023-12,B DIVISION,JZ,2,1100,1057,0.960909091
2023-12,B DIVISION,JZ,1,1020,951,0.932352941
2023-12,B DIVISION,L,2,2260,2127,0.941150442
2023-12,B DIVISION,L,1,1919,1801,0.93850964
2023-12,B DIVISION,M,2,1100,1036,0.941818182
