year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2023,10,Tuesday,15,2023-10-03T15:00:00.000,152,"135 St (C,B)",40.817894,-73.947649,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",40.700486,-73.807969,4.0024,"{'type': 'Point', 'coordinates': [-73.947649, 40.817894]}","{'type': 'Point', 'coordinates': [-73.807969, 40.700486]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,241,"15 St-Prospect Park (F,G)",40.660365,-73.979493,95,"Gates Av (J,Z)",40.68963,-73.92227,1.5064,"{'type': 'Point', 'coordinates': [-73.979493, 40.660365]}","{'type': 'Point', 'coordinates': [-73.92227, 40.68963]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,296,Marble Hill-225 St (1),40.874561,-73.909831,234,East Broadway (F),40.713715,-73.990173,0.2486,"{'type': 'Point', 'coordinates': [-73.909831, 40.874561]}","{'type': 'Point', 'coordinates': [-73.990173, 40.713715]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,442,Eastchester-Dyre Av (5),40.8883,-73.830834,298,207 St (1),40.864621,-73.918822,1.932,"{'type': 'Point', 'coordinates': [-73.830834, 40.8883]}","{'type': 'Point', 'coordinates': [-73.918822, 40.864621]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,101,"Marcy Av (M,J,Z)",40.708359,-73.957757,87,"Crescent St (J,Z)",40.683194,-73.873785,12.371,"{'type': 'Point', 'coordinates': [-73.957757, 40.708359]}","{'type': 'Point', 'coordinates': [-73.873785, 40.683194]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,608,"4 Av (F,G)/9 St (R)",40.670559,-73.989041,358,"Newkirk Av-Little Haiti (2,5)",40.639967,-73.948411,1.517,"{'type': 'Point', 'coordinates': [-73.989041, 40.670559]}","{'type': 'Point', 'coordinates': [-73.948411, 40.639967]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,448,Mets-Willets Point (7),40.754622,-73.845625,384,Burnside Av (4),40.853453,-73.907684,1.0692,"{'type': 'Point', 'coordinates': [-73.845625, 40.754622]}","{'type': 'Point', 'coordinates': [-73.907684, 40.853453]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,51,"Kings Hwy (B,Q)",40.60867,-73.957734,28,Union St (R),40.677316,-73.98311,2.187,"{'type': 'Point', 'coordinates': [-73.957734, 40.60867]}","{'type': 'Point', 'coordinates': [-73.98311, 40.677316]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,110,Forest Av (M),40.704423,-73.903077,606,"Court Sq (E,G,M,7)",40.747141,-73.945032,1.105,"{'type': 'Point', 'coordinates': [-73.903077, 40.704423]}","{'type': 'Point', 'coordinates': [-73.945032, 40.747141]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,129,Halsey St (L),40.695602,-73.904084,271,"Steinway St (M,R)",40.756879,-73.92074,0.254,"{'type': 'Point', 'coordinates': [-73.904084, 40.695602]}","{'type': 'Point', 'coordinates': [-73.92074, 40.756879]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,612,"Lexington Av-53 St (E,M)/51 St (6)",40.75733,-73.970487,396,96 St (6),40.785672,-73.95107,32.9774,"{'type': 'Point', 'coordinates': [-73.970487, 40.75733]}","{'type': 'Point', 'coordinates': [-73.95107, 40.785672]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,261,"Forest Hills-71 Av (E,F,M,R)",40.721691,-73.844521,52,Avenue U (Q),40.5993,-73.955929,0.5208,"{'type': 'Point', 'coordinates': [-73.844521, 40.721691]}","{'type': 'Point', 'coordinates': [-73.955929, 40.5993]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,318,"34 St-Penn Station (1,2,3)",40.750373,-73.991057,373,E 149 St (6),40.812118,-73.904098,2.7268,"{'type': 'Point', 'coordinates': [-73.991057, 40.750373]}","{'type': 'Point', 'coordinates': [-73.904098, 40.812118]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,345,"Crown Hts-Utica Av (3,4)",40.668897,-73.932942,334,"Clark St (2,3)",40.697466,-73.993086,0.8448,"{'type': 'Point', 'coordinates': [-73.932942, 40.668897]}","{'type': 'Point', 'coordinates': [-73.993086, 40.697466]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,369,Elder Av (6),40.828584,-73.879159,434,"3 Av-149 St (2,5)",40.816109,-73.917757,1.247,"{'type': 'Point', 'coordinates': [-73.879159, 40.828584]}","{'type': 'Point', 'coordinates': [-73.917757, 40.816109]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,451,Junction Blvd (7),40.749145,-73.869527,84,85 St-Forest Pkwy (J),40.692435,-73.86001,0.2878,"{'type': 'Point', 'coordinates': [-73.869527, 40.749145]}","{'type': 'Point', 'coordinates': [-73.86001, 40.692435]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,76,Bay Pkwy (N),40.611815,-73.981848,459,40 St-Lowery St (7),40.743781,-73.924016,0.2732,"{'type': 'Point', 'coordinates': [-73.981848, 40.611815]}","{'type': 'Point', 'coordinates': [-73.924016, 40.743781]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,636,"Jay St-MetroTech (A,C,F,R)",40.692259,-73.986642,461,"Queensboro Plaza (7,N,W)",40.750582,-73.940202,1.7008,"{'type': 'Point', 'coordinates': [-73.986642, 40.692259]}","{'type': 'Point', 'coordinates': [-73.940202, 40.750582]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,346,Sutter Av-Rutland Rd (3),40.664717,-73.92261,119,1 Av (L),40.730953,-73.981628,0.5422,"{'type': 'Point', 'coordinates': [-73.92261, 40.664717]}","{'type': 'Point', 'coordinates': [-73.981628, 40.730953]}"
